stg_voyage_id,url,page_num
1,https://www.dropbox.com/home/Sequoia%20-%20History%20Project/3.%20Sequoia%20-%20Research%20and%20Photos/8\(a\,
1,https://www.dropbox.com/home/Sequoia%20-%20History%20Project/3.%20Sequoia%20-%20Research%20and%20Photos/8\(a\,
3,https://www.dropbox.com/home/Sequoia%20-%20History%20Project/3.%20Sequoia%20-%20Research%20and%20Photos/8(a,
3,https://www.dropbox.com/home/Sequoia%20-%20History%20Project/3.%20Sequoia%20-%20Research%20and%20Photos/8\(a\,
4,https://www.dropbox.com/s/4zvjhlliil1z4zz/1927-03-30_Dr__Ogden_M__Edwards.jpg?dl=0,
5,https://www.dropbox.com/s/4eumhp5tsoax7e3/shot%20of%20USS%20SEQUOIA_1984.187.23129F_%281927%29.jpg?dl=0,
8,https://archive.org/details/WPA286510/page/n161/mode/2up?q=sequoia,
8,https://archive.org/details/WPA286510/page/n161/mode/2up?q=sequoia,
9,https://www.dropbox.com/s/dgrrzmjk2m3eg4f/Sequoia%20-%20Miami%20Races%20%28March%201929%29.png?dl=0,
9,"https://hydroplanehistory.com/races/1929_biscayne_bay_regatta_miami_sets_a_fast_pace.html#:~:text=The%20first%20speed%20boat%20event,made%20upon%20the%20water%2C%20and",
11,https://www.dropbox.com/s/7zixfvehh1myn4x/1930-6-20_Sequoia_New_London.png?dl=0,
12,https://www.dropbox.com/home/Sequoia%20-%20History%20Project/3.%20Sequoia%20-%20Research%20and%20Photos/8\(a\,
12,"https://en.wikipedia.org/wiki/John_Cadman,_1st_Baron_Cadman",
12,https://www.amazon.com/s/ref=dp_byline_sr_book_1?ie=UTF8&field-author=Ronald+W.+Ferrier&text=Ronald+W.+Ferrier&sort=relevancerank&search-alias=books,
13,https://www.newspapers.com/paper/the-day/35758/,8
13,https://www.dropbox.com/s/7vhz30bmdvgijnl/1931%3A05%3A09%20-%20New%20York%20Times%2C%20Commerce%20Department%20Buys%20Yacht%20.pdf?dl=0,8
13,https://drive.google.com/file/d/1Sfcldxsc9x0akH1Fn0mNMCkAkyaAOGLS/view?usp=drive_link,
14,https://drive.google.com/file/d/1b6-61P2T92nTo_RfgwyiqtavsXHWPxl3/view?usp=drive_link,15
14,https://drive.google.com/file/d/1P0q82KbjApYNlEhPVqTQyXr9o15YFleo/view?usp=drive_link,
14,https://drive.google.com/file/d/1zV3fbV_QSIh7SMlR3xfFSJQXbn5Kz0YU/view?usp=drive_link,
14,https://drive.google.com/file/d/1oBnU901Tru3PzvPjVt39CesycqgjFcRl/view?usp=drive_link,2
14,https://drive.google.com/file/d/13XpHbxfyntX0w8rs5JqRuFm4Euby9Kol/view?usp=drive_link,2
14,https://www.dropbox.com/s/hvxh0lvrgwyl2gc/1.%20Sequoua%20Survey%20Henry%20J.%20Gielow%20%28Gov%20Purchse%20Survey%29%201-22-31%20copy.pdf?dl=0,
15,https://www.dropbox.com/s/ijp7wprb4buiijv/The_Greeneville_Sun_Sat__Oct_31__1931_.jpg?dl=0,
15,https://nyti.ms/3rIcGgP,1
15,https://en.wikipedia.org/wiki/Hoover_Moratorium,1
15,https://en.wikipedia.org/wiki/Herbert_Hoover,
15,https://en.wikipedia.org/wiki/Moratorium_\(law\,
15,https://en.wikipedia.org/wiki/War_debt,
15,https://en.wikipedia.org/wiki/World_War_I,
15,https://en.wikipedia.org/wiki/Hoover_Moratorium#cite_note-hoover-1,
15,https://en.wikipedia.org/wiki/United_States_Congress,
15,https://en.wikipedia.org/wiki/Pierre_Laval#cite_note-5,
15,https://en.wikipedia.org/wiki/British_Security_Coordination,
15,https://www.barnesandnoble.com/s/%22William%20Stevenson%22?Ntk=P_key_Contributor_List&Ns=P_Sales_Rank&Ntx=mode+matchall,
16,https://drive.google.com/file/d/1HqbgfiD3SJ3rMbbnqLklYJrTvZGM91W5/view?usp=drive_link,
16,https://drive.google.com/drive/folders/1KzojFc91-Z8BBgs4rd61MCzzaefK13hE?usp=sharing,
16,https://drive.google.com/file/d/13XpHbxfyntX0w8rs5JqRuFm4Euby9Kol/view?usp=drive_link,
16,https://www.dropbox.com/home/Sequoia%20-%20History%20Project/3.%20Sequoia%20-%20Research%20and%20Photos/8\(b\,
17,"http://content.time.com/time/subscriber/article/0,33009,744223,00.html",16
17,https://drive.google.com/drive/folders/1PmqkayrpfS1U7aw0Wl0uvhdpxyRyV895?usp=sharing,
17,https://hoover.archives.gov/research/collections/manuscriptfindingaids/newton,
17,https://hoover.archives.gov/research/collections/manuscriptfindingaids/newton,
